"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Steel Seraph","W","R","6643","1.11","6304","1.10","40127","99.1%","59.1%","6893","64.7%","11134","65.7%","18027","65.3%","22066","54.0%","11.4pp"
"Stern Lesson","U","C","266943","5.40","47557","7.22","210201","71.3%","56.3%","36162","56.8%","60884","57.3%","97046","57.1%","112503","55.5%","1.6pp"
"Stone Retrieval Unit","","C","309966","6.44","31073","9.66","63752","34.4%","51.1%","10737","49.8%","16924","52.0%","27661","51.1%","35967","51.0%","0.1pp"
"Su-Chi Cave Guard","","U","96731","5.23","9712","8.02","24745","42.8%","50.8%","3749","49.5%","6883","53.2%","10632","51.9%","14051","50.0%","1.9pp"
"Sundering Titan","","M","4475","2.11","1537","2.27","6633","71.6%","53.3%","1010","53.4%","1899","57.3%","2909","55.9%","3706","51.3%","4.7pp"
"Supply Drop","","C","333169","7.73","43088","11.02","64564","24.1%","54.9%","10450","51.9%","16722","54.3%","27172","53.4%","37320","56.1%","-2.6pp"
"Surge Engine","U","M","3864","1.30","3181","1.28","17982","89.3%","58.8%","3318","65.6%","5188","62.7%","8506","63.8%","9402","54.3%","9.5pp"
"Survivor of Korlis","W","C","313491","7.43","36969","10.71","82640","36.0%","55.6%","14503","56.0%","19163","52.2%","33666","53.9%","48738","56.8%","-2.9pp"
"Swiftfoot Boots","","U","97783","5.24","10127","7.80","21857","36.2%","49.5%","3723","44.5%","5649","47.0%","9372","46.0%","12447","52.1%","-6.1pp"
"Swiftgear Drake","","C","335054","8.48","27714","12.74","9273","5.5%","49.3%","1433","48.2%","2453","49.8%","3886","49.2%","5373","49.2%","-0.0pp"
"Sword of the Meek","","R","19028","4.72","2187","7.22","2888","21.5%","52.0%","456","","769","49.0%","1225","50.0%","1660","53.4%","-3.3pp"
"Symmetry Matrix","","U","122273","7.74","14062","11.33","6920","8.1%","50.5%","1127","46.6%","1834","47.5%","2961","47.2%","3944","53.1%","-5.9pp"
"Take Flight","U","U","76171","4.16","14906","5.43","60692","66.9%","54.3%","9739","51.9%","17131","56.5%","26870","54.8%","33634","53.9%","1.0pp"
"Tawnos's Tinkering","G","C","340865","9.78","34364","13.81","3321","1.6%","51.6%","501","52.7%","847","51.9%","1348","52.2%","1983","51.4%","0.8pp"
"Tawnos, the Toymaker","UG","R","30976","5.25","4426","7.68","2270","8.4%","51.7%","368","","635","53.5%","1003","52.9%","1263","50.5%","2.4pp"
"Teething Wurmlet","G","R","11075","1.94","5800","1.95","30777","85.3%","56.7%","5487","65.1%","7998","56.1%","13485","59.7%","17260","54.3%","5.4pp"
"Teferi, Temporal Pilgrim","U","M","3429","1.18","2817","1.15","14817","86.2%","56.3%","2489","59.7%","4636","61.0%","7125","60.5%","7629","52.4%","8.2pp"
"Terisian Mindbreaker","U","R","18453","3.18","2480","4.04","6537","45.0%","48.6%","1011","46.1%","1913","50.1%","2924","48.7%","3580","48.3%","0.4pp"
"The Fall of Kroog","R","U","125822","8.87","14066","12.76","810","0.9%","43.8%","124","","217","","341","","469","",""
"The Mightstone and Weakstone","","R","7147","1.21","6103","1.21","36607","96.3%","56.6%","6242","58.1%","10108","60.9%","16350","59.8%","20199","54.0%","5.8pp"
"The Stasis Coffin","","R","36484","5.99","4219","9.30","212","0.8%","","30","","54","","84","","128","",""
"The Stone Brain","","R","38235","6.22","4844","9.40","71","0.2%","","14","","18","","32","","36","",""
"The Temporal Anchor","U","R","20692","3.54","4927","4.14","15343","52.3%","52.2%","2520","49.7%","4517","54.9%","7037","53.0%","8272","51.5%","1.5pp"
