"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"High Noon","W","R","74798","5.80","8509","9.12","4075","8.0%","49.8%","649","45.0%","938","49.5%","1587","47.6%","2482","51.1%","-3.5pp"
"Holy Cow","W","C","363393","4.73","62593","6.62","322969","84.2%","55.9%","56337","56.0%","76564","57.5%","132901","56.9%","189950","55.2%","1.7pp"
"Inventive Wingsmith","W","C","471205","7.64","52363","11.23","53390","17.0%","51.7%","8988","49.9%","12794","51.2%","21782","50.7%","31605","52.3%","-1.6pp"
"Lassoed by the Law","W","U","73003","2.52","33563","2.77","195156","93.4%","57.4%","32801","58.9%","48231","62.4%","81032","61.0%","113891","54.8%","6.2pp"
"Mystical Tether","W","C","261590","3.45","72355","4.31","406276","91.9%","55.6%","69050","54.9%","98922","58.1%","167972","56.8%","237913","54.8%","2.0pp"
"Nurturing Pixie","W","U","162569","5.50","22825","7.95","73259","53.2%","54.4%","12334","53.1%","17123","55.1%","29457","54.3%","43794","54.5%","-0.3pp"
"Omenport Vigilante","W","U","143732","4.77","23935","6.61","104312","72.2%","54.6%","18353","55.9%","23613","53.4%","41966","54.5%","62354","54.6%","-0.2pp"
"One Last Job","W","R","45893","3.51","9151","4.49","37045","67.5%","54.4%","5755","51.1%","8703","56.3%","14458","54.3%","22555","54.4%","-0.1pp"
"Outlaw Medic","W","C","423452","5.93","60866","8.55","226663","61.5%","54.7%","40370","55.6%","53220","55.3%","93590","55.4%","132939","54.2%","1.2pp"
"Prairie Dog","W","U","89912","3.00","26842","3.59","146797","89.8%","55.7%","26789","58.6%","34555","55.6%","61344","56.9%","85569","54.8%","2.0pp"
"Prosperity Tycoon","W","U","123315","3.98","31424","4.98","164143","84.7%","56.6%","27330","57.0%","39401","58.2%","66731","57.7%","97444","55.8%","1.9pp"
