"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Raccoon Rallier","R","C","112512","6.23","15838","8.70","53623","57.7%","53.5%","9448","53.0%","11069","50.0%","20517","51.4%","33093","54.8%","-3.4pp"
"Reptilian Recruiter","R","U","41386","5.43","6276","7.43","18082","49.5%","53.5%","2615","51.9%","3959","53.9%","6574","53.1%","11488","53.7%","-0.6pp"
"Roughshod Duo","R","C","108855","5.86","15526","8.20","57575","63.5%","54.1%","9821","53.4%","12519","53.1%","22340","53.2%","35216","54.8%","-1.5pp"
"Sazacap's Brew","R","C","119053","6.87","14609","9.97","30205","35.5%","51.7%","4966","48.3%","6696","49.6%","11662","49.0%","18497","53.3%","-4.3pp"
"Season of the Bold","R","M","3450","2.30","1318","2.34","5731","76.2%","52.9%","943","51.0%","1320","55.4%","2263","53.6%","3458","52.4%","1.2pp"
"Steampath Charger","R","C","110743","6.07","15960","8.49","56706","60.6%","53.9%","10034","51.4%","11950","53.0%","21984","52.3%","34660","54.9%","-2.7pp"
"Stormsplitter","R","M","5107","3.38","833","4.19","1541","33.2%","45.2%","233","","419","","652","40.0%","889","49.0%","-9.0pp"
"Sunspine Lynx","R","R","9155","2.96","2246","3.49","9233","71.8%","52.6%","1503","51.7%","2109","50.5%","3612","51.0%","5651","53.4%","-2.4pp"
"Take Out the Trash","R","C","77097","3.93","18580","4.87","95319","86.3%","55.2%","16830","56.5%","21254","57.1%","38084","56.8%","57017","54.1%","2.7pp"
"Teapot Slinger","R","U","34511","4.44","6105","5.85","26001","72.3%","54.3%","4197","54.4%","5830","54.1%","10027","54.2%","16017","54.3%","-0.1pp"
"Valley Flamecaller","R","R","6495","2.14","2787","2.22","14305","86.8%","55.4%","2520","58.8%","3245","56.5%","5765","57.6%","8572","53.9%","3.7pp"
"War Squeak","R","C","120472","7.18","13313","10.63","17668","22.7%","51.1%","2609","47.0%","3752","51.0%","6361","49.4%","11298","52.1%","-2.7pp"
"Whiskerquill Scribe","R","C","118102","6.75","16117","9.46","45971","48.7%","54.2%","8023","53.4%","9525","51.6%","17548","52.4%","28393","55.3%","-2.9pp"
"Wildfire Howl","R","U","42708","5.79","5282","8.45","9915","32.8%","51.4%","1578","51.5%","2424","55.0%","4002","53.6%","5884","49.9%","3.7pp"
"Bakersbane Duo","G","C","88564","4.40","22683","5.58","118653","88.1%","56.7%","21330","58.9%","27724","57.7%","49054","58.2%","69101","55.5%","2.8pp"
"Valley Rally","R","U","44711","5.97","5871","8.70","14936","44.0%","52.8%","2174","51.5%","3275","52.0%","5449","51.8%","9476","53.3%","-1.6pp"
"Bark-Knuckle Boxer","G","U","33115","4.06","8187","5.16","40588","83.0%","56.0%","7256","58.3%","9282","55.9%","16538","56.9%","24053","55.3%","1.7pp"
"Brambleguard Veteran","G","U","31150","3.93","7380","4.88","34889","79.9%","55.8%","6143","56.6%","8186","56.1%","14329","56.3%","20586","55.4%","0.9pp"
"Bushy Bodyguard","G","U","29722","3.68","8231","4.49","42066","85.8%","56.1%","7190","54.7%","9843","58.0%","17033","56.6%","24819","55.6%","1.0pp"
"Cache Grab","G","C","109282","5.96","24086","7.59","89064","62.2%","56.9%","15791","58.1%","21468","59.7%","37259","59.0%","51515","55.3%","3.7pp"
"Clifftop Lookout","G","U","31512","3.95","6732","5.20","29427","74.7%","54.0%","5285","53.3%","7359","54.1%","12644","53.7%","16751","54.1%","-0.4pp"
"Curious Forager","G","U","32686","4.02","8453","5.01","42165","84.1%","56.0%","6940","52.9%","10235","57.9%","17175","55.9%","24787","56.0%","-0.1pp"
"Druid of the Spade","G","C","114932","6.28","17110","8.94","49203","48.8%","55.5%","8216","53.8%","11110","55.0%","19326","54.5%","29840","56.1%","-1.7pp"
"Fecund Greenshell","G","R","5036","1.68","3540","1.66","19795","92.6%","58.1%","3257","63.0%","5138","66.1%","8395","64.9%","11438","53.2%","11.7pp"
"For the Common Good","G","R","14874","4.49","1978","6.54","2056","17.9%","49.4%","309","","456","","765","47.2%","1291","50.7%","-3.5pp"
"Galewind Moose","G","U","22674","2.87","8426","3.32","45232","90.5%","56.0%","6977","56.3%","11292","59.8%","18269","58.4%","27000","54.3%","4.1pp"
"Hazardroot Herbalist","G","U","40165","5.13","6128","7.25","19459","53.9%","53.8%","3177","51.7%","4336","52.2%","7513","52.0%","11909","54.8%","-2.9pp"
"Heaped Harvest","G","C","105211","5.58","16589","7.85","51657","53.4%","53.1%","9027","53.0%","12499","53.6%","21526","53.4%","30001","52.9%","0.4pp"
"High Stride","G","C","120553","6.90","16295","10.00","31025","32.4%","54.6%","4756","54.7%","7143","55.1%","11899","55.0%","19067","54.4%","0.6pp"
"Hivespine Wolverine","G","U","24991","3.13","7513","3.78","39612","89.0%","56.0%","6201","55.5%","9937","59.3%","16138","57.8%","23475","54.8%","3.0pp"
"Honored Dreyleader","G","U","35095","4.56","6823","5.97","26147","65.6%","55.0%","4500","52.8%","6461","57.2%","10961","55.4%","14984","54.5%","0.9pp"
"Hunter's Talent","G","U","17426","2.33","9204","2.54","51411","92.4%","57.9%","8833","60.5%","12619","63.1%","21452","62.0%","29783","54.9%","7.1pp"
"Innkeeper's Talent","G","R","4479","1.52","3409","1.48","18978","92.1%","57.7%","3426","66.7%","4578","60.9%","8004","63.4%","10922","53.5%","9.9pp"
"Keen-Eyed Curator","G","R","5949","1.97","3189","2.00","17036","89.7%","56.5%","2972","58.2%","4093","60.5%","7065","59.5%","9984","54.4%","5.1pp"
"Longstalk Brawl","G","C","83643","4.13","20061","5.38","101747","86.1%","55.6%","16341","55.2%","24878","57.2%","41219","56.4%","60302","55.0%","1.4pp"
"Lumra, Bellow of the Woods","G","M","2283","1.45","1616","1.45","8458","88.6%","55.9%","1340","56.3%","2228","62.8%","3568","60.3%","4903","52.9%","7.5pp"
"Mistbreath Elder","G","R","7583","2.48","2899","2.60","13726","81.0%","54.9%","2452","60.4%","3548","56.0%","6000","57.8%","7769","52.7%","5.1pp"
"Overprotect","G","U","30651","3.72","8528","4.67","44880","88.7%","56.5%","7092","57.2%","10774","60.2%","17866","59.0%","26919","54.8%","4.2pp"
"Pawpatch Formation","G","U","39804","4.87","6345","6.90","24794","66.4%","55.3%","4126","55.6%","6106","57.1%","10232","56.5%","14501","54.4%","2.1pp"
"Pawpatch Recruit","G","R","5573","1.83","3309","1.83","17737","89.8%","56.7%","3268","60.9%","4184","59.8%","7452","60.3%","10255","54.0%","6.3pp"
"Peerless Recycling","G","U","45047","5.72","6548","8.31","16973","44.7%","52.9%","2529","48.4%","4098","54.1%","6627","51.9%","10309","53.5%","-1.6pp"
"Polliwallop","G","C","87449","4.39","20330","5.71","99255","82.9%","55.3%","15894","54.4%","25126","58.3%","41020","56.8%","57969","54.2%","2.7pp"
"Rust-Shield Rampager","G","C","106104","5.49","16313","7.90","59686","62.1%","54.8%","9599","54.1%","14101","56.6%","23700","55.6%","36037","54.3%","1.3pp"
"Scrapshooter","G","R","5979","1.95","3144","2.00","16738","91.2%","55.7%","2860","58.0%","4165","58.2%","7025","58.1%","9759","54.0%","4.1pp"
"Season of Gathering","G","M","2343","1.59","1562","1.62","8240","87.4%","56.0%","1345","58.2%","2011","63.8%","3356","61.6%","4860","52.2%","9.4pp"
