"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Portent Tracker","G","C","288195","4.70","49866","6.38","239052","80.4%","53.6%","42507","56.6%","54138","51.7%","96645","53.8%","142033","53.4%","0.5pp"
"Preening Champion","U","C","181789","3.03","83859","3.38","488968","92.8%","58.3%","87276","61.8%","124522","60.7%","211798","61.1%","276737","56.0%","5.1pp"
"Progenitor Exarch","W","R","15270","1.67","8890","1.67","46793","86.9%","54.6%","7973","56.1%","10901","57.5%","18874","56.9%","27704","53.0%","3.9pp"
"Protocol Knight","U","C","358776","6.74","58942","9.08","192936","53.6%","56.9%","30620","55.6%","44016","56.5%","74636","56.1%","118252","57.3%","-1.2pp"
"Pyretic Prankster","R","C","398049","6.39","51399","9.07","177353","58.1%","52.3%","31360","50.6%","41808","50.7%","73168","50.7%","103857","53.4%","-2.7pp"
"Quintorius, Loremaster","WR","R","23737","2.66","8605","2.74","34443","66.3%","54.2%","5514","53.0%","8440","58.2%","13954","56.1%","20506","52.8%","3.4pp"
"Radha, Coalition Warlord","RG","U","157925","7.67","16254","11.46","10596","10.9%","48.0%","1689","44.9%","2582","46.9%","4271","46.1%","6276","49.0%","-2.9pp"
"Raff, Weatherlight Stalwart","WU","U","124343","5.20","27994","6.46","102039","59.5%","56.4%","17522","56.4%","23826","55.5%","41348","55.9%","60480","56.7%","-0.8pp"
"Ragavan, Nimble Pilferer","R","M","5039","1.74","2533","1.77","12937","83.4%","55.6%","2435","68.3%","2913","52.5%","5348","59.7%","7581","52.8%","6.9pp"
"Ral's Reinforcements","R","C","330947","5.87","59942","7.65","246968","67.9%","55.3%","44259","57.3%","58748","55.1%","103007","56.0%","143936","54.8%","1.2pp"
"Ramosian Greatsword","R","U","210464","6.95","28219","9.76","53655","32.0%","52.4%","8120","49.3%","12406","50.6%","20526","50.1%","33157","53.9%","-3.8pp"
"Rampaging Geoderm","RG","U","178151","5.65","24236","7.85","69402","48.0%","52.9%","11499","53.1%","16219","53.9%","27718","53.6%","41346","52.2%","1.3pp"
"Rampaging Raptor","R","R","16499","1.84","8363","1.84","41641","83.2%","54.4%","7010","56.5%","10163","56.7%","17173","56.6%","24524","52.8%","3.8pp"
"Rankle and Torbran","BR","R","27844","3.08","7828","3.31","29143","63.3%","52.5%","4808","52.0%","7574","55.8%","12382","54.3%","16834","51.1%","3.2pp"
"Ravenous Sailback","G","U","185743","5.46","23259","8.00","66982","48.3%","52.9%","10320","51.5%","15863","54.5%","26183","53.3%","40568","52.5%","0.8pp"
"Realmbreaker's Grasp","W","C","223190","3.48","42847","4.61","222406","86.3%","54.5%","37515","52.4%","50074","55.1%","87589","54.0%","133910","54.9%","-0.9pp"
"Realmbreaker, the Invasion Tree","","R","36662","3.79","6555","4.88","19448","50.2%","51.3%","3463","47.6%","5089","54.1%","8552","51.5%","10944","51.3%","0.1pp"
"Redcap Heelslasher","R","C","382906","7.71","42375","11.09","75909","30.2%","51.7%","12258","50.2%","17233","50.8%","29491","50.5%","46463","52.4%","-1.9pp"
"Renata, Called to the Hunt","G","U","95561","3.88","14288","5.22","63625","76.8%","52.0%","10390","49.4%","14720","50.5%","25110","50.1%","38385","53.1%","-3.0pp"
"Render Inert","B","U","192721","5.74","30944","8.09","81062","43.4%","53.9%","13062","52.5%","21072","57.5%","34134","55.6%","47149","52.8%","2.8pp"
"Reyav, Master Smith","WR","U","146367","6.86","20548","9.26","40063","32.1%","55.3%","6893","59.6%","8326","57.0%","15219","58.2%","24831","53.5%","4.6pp"
"Rona, Herald of Invasion","U","R","15993","1.78","10747","1.79","60176","91.4%","56.1%","10804","60.2%","15683","57.3%","26487","58.5%","33357","54.0%","4.4pp"
"Rona, Sheoldred's Faithful","UB","U","157834","7.44","20226","10.66","27311","22.3%","53.6%","4408","51.7%","7282","55.5%","11690","54.0%","15706","53.3%","0.7pp"
"Rugged Highlands","","C","222239","6.34","33518","8.86","106587","53.3%","52.9%","19666","55.3%","24571","51.8%","44237","53.4%","60518","52.4%","0.9pp"
"Saiba Cryptomancer","U","C","341709","5.94","74001","7.78","335425","73.5%","56.7%","55861","56.2%","83639","58.8%","139500","57.8%","195229","55.9%","1.8pp"
"Sandstalker Moloch","G","U","165921","4.66","29700","6.30","132398","73.6%","55.1%","22559","56.1%","31099","55.7%","53658","55.8%","78344","54.4%","1.4pp"
"Scorn-Blade Berserker","B","U","157887","4.37","39598","5.55","197952","81.8%","56.1%","34603","56.6%","49813","58.3%","84416","57.6%","113395","54.9%","2.7pp"
"Scoured Barrens","","C","210334","5.48","34958","7.76","126827","60.8%","52.6%","23194","55.0%","30172","52.4%","53366","53.5%","72433","51.9%","1.6pp"
"Scrappy Bruiser","R","U","215959","7.36","23661","10.81","22502","16.0%","50.8%","3509","48.3%","5143","50.2%","8652","49.4%","13877","51.7%","-2.3pp"
"Scrollshift","W","C","384228","7.52","45059","10.84","61056","22.6%","52.7%","9264","49.9%","13807","53.7%","23071","52.2%","38015","53.0%","-0.9pp"
"Sculpted Perfection","WB","U","157824","4.78","24935","6.50","82201","56.3%","51.6%","13604","50.5%","19878","53.9%","33482","52.5%","48441","50.9%","1.6pp"
"Seal from Existence","W","U","92825","2.63","25725","3.17","134241","86.7%","54.9%","22084","53.2%","30146","55.8%","52230","54.7%","81851","54.9%","-0.2pp"
"Searing Barb","R","C","374699","7.46","40013","10.88","59238","24.8%","51.8%","9686","50.7%","13927","52.1%","23613","51.5%","35651","52.0%","-0.5pp"
"See Double","U","R","20928","2.27","11634","2.30","60874","86.9%","55.1%","9714","53.4%","18026","59.6%","27740","57.4%","34666","54.0%","3.4pp"
